,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
1,50.462,2633.4,25.184,50.201,3102.8,22.617,65.724,228.65,341,94.592,77.274,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579
2,51.906,2634.4,26.589,49.824,3102.2,22.583,65.726,229.63,341.44,94.686,77.383,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579
3,50.469,2634.6,24.494,48.957,3104,23.591,65.757,228.44,341.11,94.568,77.546,32.222,8.9441,26.076,6.7883,18.672,1.6665,33.011,13.751,23.756,1.1904,18.961
4,48.215,2635.9,27.367,49.708,3104.7,22.097,65.787,230.12,341.34,94.623,77.569,32.222,8.9441,26.076,6.7883,18.672,1.6665,33.011,13.751,23.756,1.1904,18.961
5,49.518,2634.1,22.341,49.662,3103.5,22.854,65.79,230.09,341.24,94.399,77.158,32.198,8.9947,26.188,6.9876,18.652,1.6479,33.387,13.796,23.854,1.1715,18.9
6,50.378,2632.9,24.433,51.704,3101.1,22.353,65.766,229.64,341.51,94.583,77.035,32.198,8.9947,26.188,6.9876,18.652,1.6479,33.387,13.796,23.854,1.1715,18.9
7,48.099,2631.4,25.761,48.912,3099.7,21.728,65.723,229.36,341.28,94.623,77.202,31.713,8.7036,26.066,6.7543,18.935,1.6569,32.918,13.869,23.776,1.197,18.503
8,51.05,2630.9,24.262,49.773,3098.5,22.361,65.694,230.37,341.54,94.661,77.054,31.713,8.7036,26.066,6.7543,18.935,1.6569,32.918,13.869,23.776,1.197,18.503
9,50.399,2631.9,26.556,51.098,3101.2,22.916,65.633,230.94,341.42,94.699,77.24,32.06,8.9901,26.312,6.9911,18.973,1.6498,33.351,13.75,23.766,1.3829,18.191
10,48.81,2635.4,24.64,48.854,3102.4,23.519,65.656,232.17,341.55,94.394,77.416,32.06,8.9901,26.312,6.9911,18.973,1.6498,33.351,13.75,23.766,1.3829,18.191
11,49.612,2635.5,26.165,50.719,3103.2,23.64,65.707,231.57,341.75,94.529,77.6,32.656,8.7855,26.479,6.8961,18.86,1.6774,32.941,13.744,23.934,1.0893,18.474
12,49.031,2637.2,23.527,50.704,3104.3,22.279,65.789,233.87,341.74,94.531,77.453,32.656,8.7855,26.479,6.8961,18.86,1.6774,32.941,13.744,23.934,1.0893,18.474
13,50.52,2633.4,26.713,51.398,3100.6,22.215,65.82,230.7,341.81,94.632,76.846,32.184,8.8782,26.396,6.9527,19.068,1.6721,33.166,13.803,23.922,1.3075,18.498
14,50.002,2630.2,27.092,46.919,3099.4,22.838,65.782,233.19,341.79,94.641,76.744,32.184,8.8782,26.396,6.9527,19.068,1.6721,33.166,13.803,23.922,1.3075,18.498
15,49.549,2631.2,25.917,48.93,3098.6,22.723,65.687,232.4,341.81,94.807,77.437,32.707,8.6857,26.205,6.8269,18.852,1.6322,32.84,13.599,23.665,1.1799,18.582
16,48.951,2633,25.133,49.988,3100.8,23.397,65.71,230.2,342.05,94.684,77.249,32.707,8.6857,26.205,6.8269,18.852,1.6322,32.84,13.599,23.665,1.1799,18.582
17,50.484,2635.7,24.041,51.137,3101.7,21.684,65.741,231.66,341.57,94.615,77.55,32.721,8.8494,26.338,6.8921,18.381,1.7161,32.632,13.87,23.757,1.3667,18.065
18,49.77,2633.6,24.581,49.321,3101.8,22.452,65.76,230.43,341.11,94.537,77.236,32.721,8.8494,26.338,6.8921,18.381,1.7161,32.632,13.87,23.757,1.3667,18.065
19,50.705,2631.6,24.666,49.347,3100.9,22.977,65.731,229.3,341.03,94.704,77.06,32.398,8.9234,26.502,7.0773,18.508,1.6625,33.145,13.865,24.183,1.3803,18.249
20,50.598,2632,23.934,50.494,3100.4,22.548,65.7,231.09,340.62,94.683,77.516,32.398,8.9234,26.502,7.0773,18.508,1.6625,33.145,13.865,24.183,1.3803,18.249
21,48.434,2636.1,24.718,49.721,3102.4,22.526,65.748,229.62,340.95,94.629,77.961,32.432,8.8924,26.502,7.0374,18.488,1.6771,32.904,13.935,23.716,1.1818,18.601
